,code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket
756,sh601798,蓝科高新,化工机械,甘肃,1142.77,35452.82,35452.82,281718.13,152531.98,91630.96,99695.71,2.81,0.003,5.55,2.29,20110622
757,sh600231,凌钢股份,普钢,辽宁,0.0,160800.44,251916.59,1528818.25,618900.13,744898.94,158554.98,0.63,0.052,1.97,1.29,20000511
758,sh600329,中新药业,中成药,天津,28.66,53620.37,76887.29,629283.94,420752.31,77764.8,130748.01,1.7,0.156,5.24,3.4,20010606
759,sz002192,融捷股份,化工原料,广东,3334.48,19048.94,25965.51,96774.28,33534.31,12462.4,51183.68,1.97,0.003,2.82,13.11,20071205
760,sh601818,光大银行,银行,北京,5.31,3981036.0,4667909.5,349395104.0,0.0,1237000.0,3336500.0,0.71,0.181,4.98,0.77,20100818
761,sz300229,拓尔思,软件服务,北京,1229.1,42058.26,46588.69,189286.61,82707.0,16241.63,54549.18,1.17,0.004,3.25,6.73,20110615
762,sz002531,天顺风能,电气设备,江苏,34.24,147335.94,148140.0,433200.94,233643.05,76041.21,66866.63,0.45,0.047,1.57,4.1,20101231
763,sh600809,山西汾酒,白酒,山西,17.98,86584.82,86584.82,726314.44,478008.59,150860.84,24080.68,0.28,0.34,5.45,4.49,19940106
764,sz002505,大康农业,农业综合,湖南,666.6,154608.8,548537.25,919578.19,691066.0,64762.7,276019.66,0.5,0.001,1.05,3.68,20101118
765,sz002298,中电鑫龙,电气设备,安徽,89.76,35543.87,63291.87,502305.69,251716.05,72760.65,194227.73,3.07,0.047,4.77,3.54,20090929
766,sh600812,华北制药,化学制药,河北,190.94,137857.75,163080.45,1632924.38,677910.0,590986.31,347034.91,2.13,0.009,3.25,2.0,19940114
767,sz300478,杭州高新,橡胶,浙江,449.48,2417.0,6667.0,59183.25,42866.6,7356.31,24014.25,3.6,0.034,7.38,8.3,20150610
768,sz300251,光线传媒,影视音像,北京,40.52,275162.16,293360.84,811777.81,371068.47,2647.09,284762.0,0.97,0.072,2.33,5.05,20110803
769,sz000789,万年青,水泥,江西,190.95,61334.98,61336.44,874753.5,292743.0,435846.44,27790.75,0.45,0.009,4.31,1.52,19970923
770,sz002336,*ST人乐,超市连锁,深圳,50.45,40000.0,40000.0,618297.44,402705.94,96703.67,247589.8,6.19,0.052,5.67,1.84,20100113
771,sh600050,中国联通,电信运营,上海,143.34,2119659.75,2119659.75,60148448.0,5973951.0,34878064.0,2781153.25,1.31,0.007,3.72,1.06,20021009
772,sz300086,康芝药业,化学制药,海南,72.47,43377.76,45000.0,216210.84,148127.27,31425.27,111650.52,2.48,0.041,3.95,2.99,20100526
773,sh600281,太化股份,化工原料,山西,0.0,51440.19,51440.19,218054.75,125473.72,8646.32,57746.19,1.12,0.009,1.0,6.58,20001109
774,sz002508,老板电器,家用电器,浙江,41.26,70980.75,73005.67,525113.56,421539.09,86348.18,83775.9,1.15,0.223,4.62,7.99,20101123
775,sz300412,迦南科技,医疗保健,浙江,149.34,3861.0,11748.0,56392.08,39311.18,9000.85,9431.96,0.8,0.064,3.41,11.2,20141231
776,sz002221,东华能源,石油贸易,江苏,65.56,127143.85,139161.64,1685083.25,797256.63,560995.13,177793.72,1.28,0.05,2.38,5.54,20080306
777,sz000898,鞍钢股份,普钢,辽宁,0.0,614895.25,723480.81,9004400.0,2544600.0,5051400.0,3151900.0,4.36,0.085,5.9,0.67,19971225
778,sh600859,王府井,百货,北京,12.8,60159.85,60159.85,1377945.38,715718.13,214122.8,320499.5,5.33,0.311,12.4,1.29,19940506
779,sh601101,昊华能源,煤炭开采,北京,0.0,119999.82,119999.82,2079097.75,417388.91,253757.63,323487.13,2.7,0.084,5.4,1.23,20100331
780,sh600777,新潮能源,综合类,山东,0.0,62542.32,106611.49,508213.91,180098.44,14795.34,242394.3,2.27,0.013,3.95,4.72,19961121
781,sz002796,世嘉科技,专用机械,江苏,289.16,2000.0,8000.0,34843.76,21316.22,10008.83,5934.81,0.74,0.082,4.42,21.43,20160510
782,sz000572,海马汽车,汽车整车,海南,26.29,164209.52,164463.64,1676711.63,686568.75,303629.75,376545.72,2.29,0.051,4.52,1.18,19940808
783,sh600503,华丽家族,区域地产,上海,312.83,156269.06,160229.0,547162.81,388592.75,510.1,119900.1,0.75,0.008,2.27,4.15,20020709
784,sh601368,绿城水务,水务,广西,37.15,29420.26,73581.09,698337.0,133699.06,323615.13,90107.85,1.22,0.091,3.6,3.77,20150612
785,sz300078,思创医惠,元器件,浙江,125.59,27774.26,41875.0,225032.52,88974.36,34725.8,60116.07,1.44,0.065,3.14,10.38,20100430
786,sh600135,乐凯胶片,化工原料,河北,114.38,36834.3,37299.17,196576.66,134733.0,24181.01,89991.36,2.41,0.039,4.36,4.06,19980122
787,sh600572,康恩贝,中成药,浙江,27.86,205773.81,251073.0,979524.13,502466.94,191167.81,98438.6,0.39,0.061,1.71,3.98,20040412
788,sz002733,雄韬股份,电气设备,深圳,107.73,9419.99,30600.0,223552.72,160055.5,23352.18,36161.81,1.18,0.07,4.02,7.45,20141203
789,sz000906,物产中拓,批发业,湖南,39.15,33060.57,39293.26,707680.75,607850.0,56667.65,85941.36,2.19,0.079,4.13,2.98,19990707
790,sz002500,山西证券,证券,山西,228.93,248846.95,282872.5,4479726.0,0.0,33286.26,671329.63,2.37,0.018,4.38,3.77,20101115
791,sh601866,中海集运,水运,上海,0.0,793212.5,1168312.5,10282438.0,2191537.75,5682232.0,429422.06,0.37,0.074,1.54,2.69,20071212
792,sz300439,美康生物,化学制药,浙江,80.09,11022.07,34002.0,168511.06,114380.52,16185.07,45699.06,1.34,0.114,3.9,9.4,20150422
793,sh601628,中国人寿,保险,北京,28.73,2082353.0,2826470.5,254369696.0,0.0,1863300.0,5500100.0,1.95,0.18,10.85,1.97,20070109
794,sz300202,聚龙股份,专用机械,辽宁,334.73,42022.08,54950.39,182109.31,131341.92,27361.74,9757.1,0.18,0.019,2.9,8.85,20110415
795,sz000709,河钢股份,普钢,河北,65.2,1061689.75,1061860.75,17257782.0,4784784.5,8046561.5,2320581.5,2.19,0.011,4.12,0.7,19970416
796,sz002294,信立泰,化学制药,深圳,20.05,45918.0,104601.6,575239.19,319474.78,95504.06,18193.82,0.17,0.342,4.73,5.8,20090910
797,sz002437,誉衡药业,化学制药,黑龙江,31.56,212899.59,219829.03,814900.19,172170.67,157947.77,106186.61,0.48,0.069,1.62,5.4,20100623
798,sh600218,全柴动力,农用机械,安徽,33.56,36875.5,36875.5,333409.47,230728.45,81581.97,104427.4,2.83,0.076,4.98,2.06,19981203
799,sz000960,锡业股份,小金属,云南,0.0,115121.78,147205.5,2736050.5,823823.06,1187713.88,667175.81,4.53,0.01,5.23,2.53,20000221
800,sh600729,重庆百货,百货,重庆,8.47,37231.14,40652.85,1339072.38,893390.0,255276.45,41376.93,1.02,0.786,11.47,2.32,19960702
801,sh600578,京能电力,火力发电,北京,15.36,461732.09,461732.09,3914840.5,428462.84,2211812.5,358309.34,0.78,0.072,3.54,1.26,20020510
802,sh600123,兰花科创,煤炭开采,山西,0.0,114240.0,114240.0,2296957.5,634460.5,433532.44,39298.4,0.34,0.132,8.33,0.9,19981217
803,sh603002,宏昌电子,化工原料,广东,137.6,60000.0,61396.17,135761.06,119598.57,7096.16,8355.1,0.14,0.014,1.68,4.47,20120518
804,sh600057,象屿股份,仓储物流,福建,39.6,55332.71,117077.93,3045449.0,2267957.25,378296.16,350671.16,3.0,0.066,5.22,2.01,19970604
805,sh601880,大连港,港口,辽宁,68.33,336340.0,560632.0,3254358.25,971681.19,1432652.25,853139.81,1.52,0.022,3.17,1.9,20101206
806,sh600760,*ST黑豹,汽车整车,山东,0.0,34494.03,34494.03,189752.17,85854.96,49026.37,55842.28,1.62,0.075,1.07,8.46,19961011
807,sh601398,工商银行,银行,北京,5.47,26961222.0,35640624.0,2288332544.0,0.0,19598200.0,15196800.0,0.43,0.21,5.23,0.88,20061027
808,sh600229,城市传媒,出版业,山东,38.65,39578.62,70209.6,273308.88,175225.97,27027.44,48595.94,0.69,0.079,2.81,4.37,20000309
809,sh600101,明星电力,水力发电,四川,36.67,32417.9,32417.9,277576.97,35896.8,190915.13,46199.6,1.43,0.095,5.95,2.33,19970627
810,sz300277,海联讯,软件服务,深圳,0.0,33425.0,33500.0,61266.76,43176.03,11091.21,28388.05,0.85,0.01,1.39,10.03,20111123
811,sh600331,宏达股份,铅锌,四川,0.0,103200.0,203200.0,1026629.88,414689.25,254871.55,307823.06,1.51,0.025,2.24,2.79,20011220
812,sh603996,中新科技,电脑设备,浙江,962.69,7515.0,30015.0,239257.95,204648.27,17068.68,65739.31,2.19,0.009,4.53,7.31,20151222
813,sz300512,中亚股份,专用机械,浙江,110.11,3375.0,13500.0,106108.11,76234.4,10713.5,6998.47,0.52,0.235,5.33,19.39,20160526
814,sz000623,吉林敖东,中成药,吉林,15.69,80692.95,89443.84,1993440.38,306320.0,177002.95,406563.41,4.55,0.406,19.49,1.31,19961028
815,sz300091,金通灵,机械基件,江苏,94.19,36113.94,52250.0,231076.95,132577.22,77999.77,44255.17,0.85,0.039,1.65,8.84,20100625
816,sz002350,北京科锐,电气设备,北京,951.44,21757.59,21828.0,188906.91,130838.92,24536.57,49238.19,2.26,0.005,5.0,3.91,20100203
817,sz002501,利源精制,铝,吉林,27.8,67354.35,95121.52,889410.81,66944.63,340850.09,160884.77,1.69,0.102,4.32,2.63,20101117
818,sz002404,嘉欣丝绸,纺织,浙江,68.81,39227.58,52065.0,202609.63,112404.85,34895.48,32207.05,0.62,0.03,2.43,3.35,20100511
819,sh600221,海南航空,空运,海南,6.91,1181206.38,1218218.13,13031758.0,2722028.75,5678199.5,576600.63,0.47,0.118,3.06,1.07,19991125
820,sz002010,传化股份,染料涂料,浙江,219.9,41281.3,325781.47,1418806.75,979534.19,87765.53,593712.31,1.82,0.022,3.36,5.84,20040629
821,sz300137,先河环保,环境保护,河北,128.69,29059.83,34439.53,160552.25,106215.15,24080.95,67777.0,1.97,0.029,4.0,3.68,20101105
822,sh600323,瀚蓝环境,水务,广东,23.65,62871.0,76626.39,1213205.88,162566.91,347587.91,174522.23,2.28,0.139,5.88,2.23,20001225
823,sh600608,ST沪科,普钢,上海,0.0,31837.14,32886.14,23250.48,19145.8,3355.91,43903.6,1.34,0.023,0.01,1010.6,19920327
824,sz000611,*ST蒙发,纺织,内蒙,0.0,31906.42,32182.19,39628.46,20743.2,3996.93,0.0,0.0,0.024,0.56,14.56,19961008
825,sz000727,华东科技,元器件,江苏,0.0,244242.75,452956.69,3063070.0,414010.5,85569.18,883831.13,1.95,0.005,2.37,1.39,19970520
826,sh600781,辅仁药业,中成药,河南,147.33,17759.28,17759.28,113690.36,31029.01,74146.4,12936.33,0.73,0.031,2.01,9.03,19961218
827,sz300337,银邦股份,铝,江苏,0.0,70780.39,82192.0,249759.66,94571.49,127715.3,57138.86,0.7,0.01,1.84,4.48,20120718
828,sh600987,航民股份,纺织,浙江,22.98,63531.0,63531.0,414630.75,234677.45,150742.52,10369.91,0.16,0.145,4.48,2.97,20040809
829,sh600361,华联综超,超市连锁,北京,0.0,66580.78,66580.78,1173841.0,854111.38,65015.48,167767.17,2.52,0.073,4.55,1.46,20011129
830,sh600515,海航基础,百货,海南,144.6,42277.41,42277.41,384544.94,117612.61,136597.0,55741.23,1.32,0.023,2.11,6.32,20020806
831,sz000811,烟台冰轮,工程机械,山东,360.4,39458.87,43536.94,429915.09,197470.13,58181.45,26832.9,0.62,0.009,4.47,2.98,19980528
832,sh600129,太极集团,中成药,重庆,2.13,42689.39,42689.39,999588.69,532620.75,181268.47,21943.88,0.51,2.154,3.76,4.89,19971118
833,sh603939,益丰药房,医药商业,湖南,51.19,15600.79,32000.0,246277.41,170421.66,27274.73,72311.3,2.26,0.163,4.57,7.31,20150217
834,sh601872,招商轮船,水运,上海,15.87,472092.19,529945.81,3188882.5,509610.0,2169954.0,734466.44,1.39,0.079,2.65,1.9,20061201
835,sz000788,北大医药,化学制药,重庆,299.87,55877.44,59598.73,292184.25,268625.44,12650.78,19917.28,0.33,0.011,1.91,7.12,19970616
